% 1. Title: Directive Keywords present in file dataset_corrected.csv

@RELATION directive_keywords_3

@ATTRIBUTE id NUMERIC
@ATTRIBUTE keyword_count NUMERIC
@ATTRIBUTE is_directive {directive, non-directive, revise}

@DATA
148,0,non-directive
148,0,non-directive
149,0,non-directive
149,0,non-directive
150,0,non-directive
150,0,non-directive
151,0,non-directive
151,0,non-directive
151,0,non-directive
151,0,directive
151,0,non-directive
152,0,non-directive
152,0,non-directive
153,0,non-directive
153,0,non-directive
154,0,non-directive
154,0,non-directive
155,0,non-directive
155,0,non-directive
156,0,non-directive
156,0,non-directive
157,1,directive
157,0,non-directive
157,1,revise
157,0,revise
157,0,non-directive
157,0,non-directive
159,0,non-directive
159,0,non-directive
159,0,non-directive
159,0,non-directive
160,0,non-directive
160,0,non-directive
162,0,non-directive
162,0,non-directive
163,0,non-directive
163,0,non-directive
163,0,non-directive
163,0,non-directive
164,0,non-directive
164,0,non-directive
165,0,non-directive
165,0,non-directive
166,0,non-directive
166,0,non-directive
166,0,non-directive
167,1,directive
167,1,non-directive
167,0,non-directive
168,0,non-directive
168,0,non-directive
168,0,non-directive
169,0,non-directive
169,0,non-directive
169,0,non-directive
170,0,non-directive
170,0,non-directive
170,0,non-directive
170,0,non-directive
171,0,non-directive
171,0,non-directive
171,0,non-directive
171,0,non-directive
171,0,non-directive
171,0,non-directive
172,0,non-directive
172,0,non-directive
172,0,non-directive
172,0,non-directive
172,0,non-directive
173,0,non-directive
173,0,non-directive
173,0,non-directive
173,0,non-directive
173,0,directive
174,2,directive
174,2,non-directive
174,2,revise
174,0,non-directive
174,0,non-directive
175,1,directive
175,0,non-directive
175,1,non-directive
175,0,non-directive
176,0,non-directive
176,0,non-directive
177,1,directive
177,1,non-directive
178,1,directive
178,1,non-directive
179,0,non-directive
179,0,non-directive
179,0,non-directive
182,0,non-directive
182,0,non-directive
183,0,non-directive
183,0,non-directive
183,0,non-directive
183,0,non-directive
184,0,non-directive
184,0,non-directive
184,0,non-directive
184,0,non-directive
185,1,directive
185,1,directive
186,0,non-directive
186,0,non-directive
186,0,non-directive
186,0,non-directive
187,0,non-directive
187,0,non-directive
188,0,non-directive
188,0,non-directive
189,0,non-directive
189,0,non-directive
189,0,non-directive
189,0,non-directive
189,0,non-directive
190,0,non-directive
190,0,non-directive
191,0,non-directive
191,0,non-directive
192,0,non-directive
192,0,non-directive
192,0,non-directive
192,0,non-directive
194,3,directive
194,2,non-directive
194,0,non-directive
194,2,non-directive
194,0,non-directive
195,5,directive
195,2,non-directive
195,2,directive
195,0,non-directive
195,2,non-directive
195,0,non-directive
196,0,non-directive
196,0,non-directive
196,0,non-directive
196,0,non-directive
196,0,non-directive
197,0,non-directive
197,0,non-directive
197,0,non-directive
197,0,non-directive
198,0,non-directive
198,0,non-directive
198,0,non-directive
198,0,non-directive
199,2,directive
199,2,revise
199,0,non-directive
199,0,non-directive
199,0,non-directive
200,2,directive
200,2,revise
